age,job,marital,education,balance,housing,loan,contact,campaign,previous,poutcome,subscribed
49,unemployed,single,unknown,62727,no,yes,cellular,22,1,success,yes
54,entrepreneur,divorced,unknown,32282,no,no,telephone,11,4,failure,yes
29,management,single,primary,55760,no,yes,cellular,18,1,failure,no
66,technician,married,secondary,60996,yes,yes,telephone,27,0,nonexistent,no
72,student,divorced,unknown,883,yes,no,cellular,31,4,failure,no
30,blue-collar,single,primary,34594,yes,no,telephone,35,3,failure,yes
40,retired,single,unknown,94031,no,no,telephone,44,3,failure,no
42,technician,single,unknown,76103,no,no,cellular,45,1,success,no
52,student,single,primary,67875,yes,yes,cellular,21,3,success,yes
58,services,single,tertiary,96978,no,no,telephone,20,4,failure,no
47,self-employed,divorced,secondary,86209,no,yes,cellular,9,3,failure,yes
34,self-employed,divorced,tertiary,13426,no,yes,cellular,31,0,success,yes
66,entrepreneur,married,primary,14486,no,yes,cellular,9,1,success,yes
37,entrepreneur,single,primary,74085,yes,yes,telephone,7,3,failure,no
65,technician,married,secondary,1993,yes,yes,telephone,33,1,failure,yes
42,technician,divorced,primary,10219,yes,no,telephone,1,0,success,no
39,unemployed,single,unknown,1708,yes,no,cellular,19,3,success,no
30,blue-collar,married,secondary,26788,no,yes,telephone,3,4,success,no
36,admin,single,tertiary,-505,yes,no,cellular,39,2,success,no
66,services,single,secondary,92970,yes,no,cellular,12,3,failure,yes
53,entrepreneur,married,tertiary,34160,no,yes,telephone,30,0,success,yes
29,admin,divorced,primary,5537,yes,yes,telephone,16,2,success,yes
58,admin,married,tertiary,33553,no,no,telephone,13,3,success,no
36,blue-collar,married,tertiary,20203,no,yes,cellular,24,1,nonexistent,yes
29,management,married,tertiary,52032,yes,no,cellular,17,0,nonexistent,no
26,management,single,secondary,69124,yes,no,telephone,27,3,success,no
24,entrepreneur,divorced,unknown,91844,yes,yes,cellular,29,0,failure,no
45,student,divorced,tertiary,78747,no,no,telephone,41,4,success,no
31,blue-collar,single,secondary,35659,no,no,telephone,14,2,success,yes
48,blue-collar,divorced,secondary,62043,yes,yes,telephone,5,2,success,yes
69,retired,married,unknown,1525,no,yes,cellular,43,4,success,no
36,admin,divorced,secondary,83437,yes,no,telephone,38,2,nonexistent,yes
64,retired,single,primary,2777,no,yes,telephone,6,2,success,yes
33,admin,divorced,primary,67725,yes,no,telephone,24,4,success,yes
70,management,single,primary,43791,no,yes,telephone,40,1,nonexistent,yes
22,entrepreneur,married,unknown,86853,no,yes,cellular,33,2,success,no
52,services,single,secondary,29501,yes,no,cellular,9,1,failure,no
29,management,divorced,primary,63258,no,no,cellular,42,0,nonexistent,yes
42,blue-collar,married,tertiary,81833,yes,no,cellular,49,0,success,no
69,services,divorced,secondary,74185,no,yes,cellular,3,2,failure,yes
38,technician,single,primary,21719,yes,no,cellular,23,0,success,yes
53,services,married,secondary,64686,yes,yes,cellular,21,4,success,no
70,services,single,primary,77837,yes,yes,telephone,22,2,failure,no
40,management,divorced,tertiary,26434,no,no,telephone,45,4,failure,yes
33,blue-collar,single,secondary,18520,yes,no,cellular,8,1,failure,yes
74,services,divorced,primary,54881,no,yes,telephone,20,3,success,yes
56,management,divorced,primary,-490,yes,no,cellular,14,3,failure,no
62,management,married,tertiary,26546,no,yes,cellular,30,2,failure,no
70,services,married,tertiary,11982,yes,yes,telephone,8,4,success,no
59,admin,single,primary,67451,no,yes,telephone,19,3,success,no
56,blue-collar,divorced,primary,78270,no,no,telephone,45,2,success,yes
31,self-employed,divorced,unknown,86245,no,yes,telephone,38,3,success,yes
48,services,married,unknown,17636,yes,yes,cellular,36,3,nonexistent,no
22,retired,married,secondary,96220,yes,no,telephone,6,0,success,no
52,retired,married,secondary,56087,no,no,cellular,34,2,failure,yes
40,technician,married,unknown,8957,no,no,cellular,10,3,failure,yes
46,blue-collar,single,primary,34706,no,yes,telephone,31,2,success,no
60,management,single,tertiary,97377,yes,no,telephone,11,0,failure,yes
28,unemployed,single,secondary,60871,yes,yes,telephone,43,2,failure,yes
35,entrepreneur,single,primary,59737,no,yes,cellular,35,0,nonexistent,yes
64,student,married,tertiary,98496,yes,yes,cellular,11,3,nonexistent,yes
29,unemployed,single,tertiary,38975,yes,no,telephone,40,3,success,yes
26,blue-collar,single,primary,95364,yes,yes,telephone,32,3,nonexistent,yes
27,blue-collar,single,primary,26129,yes,yes,cellular,49,0,failure,yes
61,services,married,secondary,35939,yes,no,telephone,26,1,success,yes
34,services,divorced,unknown,63059,no,yes,telephone,22,0,success,yes
55,unemployed,married,primary,6298,no,no,telephone,1,0,failure,no
24,management,divorced,unknown,62422,yes,no,telephone,48,4,failure,no
63,technician,divorced,secondary,4480,no,no,telephone,29,3,failure,yes
30,services,single,unknown,91080,yes,no,telephone,39,3,failure,no
57,student,single,unknown,58389,no,yes,telephone,22,4,nonexistent,yes
59,student,single,tertiary,66393,yes,yes,cellular,32,1,failure,yes
26,technician,married,secondary,2349,yes,yes,telephone,25,2,success,yes
67,admin,married,primary,64964,yes,yes,telephone,40,3,nonexistent,yes
44,admin,single,unknown,37491,no,no,cellular,45,3,success,no
19,blue-collar,married,secondary,44778,no,yes,cellular,29,0,failure,yes
22,services,married,tertiary,86699,no,no,telephone,37,1,failure,yes
46,retired,divorced,tertiary,25677,yes,yes,cellular,32,1,success,no
54,unemployed,married,unknown,94440,yes,yes,telephone,30,1,success,no
55,self-employed,divorced,unknown,79254,no,no,cellular,18,1,failure,yes
36,technician,single,primary,78345,no,yes,cellular,44,4,nonexistent,no
25,blue-collar,married,secondary,11272,yes,yes,cellular,48,0,failure,yes
65,retired,divorced,primary,9828,yes,no,telephone,3,4,nonexistent,no
62,services,married,primary,42431,yes,yes,cellular,12,4,failure,yes
18,retired,divorced,tertiary,5856,no,yes,telephone,20,2,nonexistent,yes
39,retired,divorced,secondary,9223,yes,yes,telephone,8,0,failure,yes
69,technician,married,primary,37413,yes,no,cellular,31,1,success,yes
34,blue-collar,single,tertiary,54822,yes,no,cellular,24,0,success,yes
24,management,divorced,unknown,33689,yes,yes,telephone,13,1,failure,yes
42,student,single,primary,71702,no,yes,telephone,8,2,failure,yes
62,unemployed,married,unknown,54396,yes,yes,telephone,42,3,nonexistent,no
21,blue-collar,married,secondary,10637,no,no,cellular,14,4,nonexistent,no
53,self-employed,single,primary,44534,yes,yes,telephone,15,2,failure,no
23,retired,married,unknown,64414,no,no,cellular,21,4,nonexistent,yes
48,management,divorced,unknown,74240,no,no,telephone,15,1,success,no
36,technician,single,secondary,72038,no,yes,cellular,26,1,success,no
61,entrepreneur,married,tertiary,13266,no,no,telephone,38,2,failure,yes
71,unemployed,married,tertiary,46068,yes,no,telephone,46,3,success,yes
56,unemployed,single,primary,97625,no,no,cellular,38,3,nonexistent,no
44,student,divorced,unknown,42356,no,no,cellular,33,4,failure,no
27,entrepreneur,single,tertiary,84295,yes,no,cellular,10,1,success,no
43,services,married,primary,13046,no,yes,cellular,19,1,failure,no
36,entrepreneur,married,unknown,23270,no,no,cellular,11,3,success,no
56,retired,single,primary,74342,yes,no,telephone,3,1,success,yes
20,retired,divorced,secondary,35988,no,no,cellular,23,1,success,no
62,retired,divorced,primary,50179,yes,no,cellular,6,2,success,no
30,retired,divorced,secondary,33892,no,no,cellular,41,3,failure,no
67,blue-collar,single,unknown,27512,no,yes,cellular,41,3,success,yes
45,unemployed,divorced,unknown,57165,no,yes,cellular,29,0,success,yes
37,entrepreneur,divorced,unknown,3099,yes,no,telephone,4,3,success,no
45,unemployed,divorced,primary,51487,no,yes,cellular,3,3,failure,yes
25,self-employed,divorced,unknown,93847,yes,no,telephone,20,0,success,no
58,entrepreneur,married,unknown,72088,no,yes,cellular,43,1,success,yes
56,blue-collar,single,secondary,75163,no,yes,cellular,49,1,success,yes
18,self-employed,single,unknown,88845,no,no,telephone,8,4,failure,yes
20,unemployed,divorced,unknown,48003,no,no,cellular,6,1,success,yes
30,self-employed,single,unknown,64886,yes,no,cellular,5,3,success,no
45,student,single,tertiary,75812,yes,no,telephone,8,4,failure,no
74,self-employed,married,unknown,9739,yes,yes,telephone,8,4,nonexistent,yes
66,entrepreneur,single,primary,84838,no,no,cellular,35,1,failure,yes
42,retired,married,secondary,10384,yes,yes,telephone,19,4,nonexistent,yes
73,retired,single,unknown,31094,yes,no,cellular,48,0,nonexistent,yes
50,services,married,primary,120,no,no,cellular,10,4,nonexistent,yes
55,unemployed,married,secondary,-1007,yes,yes,cellular,35,2,nonexistent,no
70,student,single,secondary,85295,no,no,telephone,9,0,nonexistent,no
23,entrepreneur,married,primary,16150,no,no,telephone,8,3,failure,yes
61,entrepreneur,married,primary,62681,yes,yes,cellular,8,1,success,no
62,technician,single,tertiary,43388,yes,yes,cellular,8,1,failure,yes
49,admin,married,tertiary,89292,no,no,telephone,20,2,failure,yes
62,unemployed,married,unknown,49116,no,yes,cellular,7,1,success,yes
64,entrepreneur,married,tertiary,53753,no,no,telephone,46,3,success,yes
38,management,married,primary,99085,no,yes,telephone,22,4,failure,no
33,entrepreneur,married,tertiary,37787,yes,no,telephone,17,1,failure,no
71,technician,divorced,secondary,33673,no,yes,telephone,44,3,failure,yes
38,self-employed,married,primary,6290,yes,yes,telephone,5,0,failure,no
28,blue-collar,married,unknown,58123,no,yes,cellular,34,3,success,no
54,blue-collar,married,secondary,14627,yes,no,telephone,25,2,nonexistent,yes
53,management,married,secondary,71474,no,no,telephone,47,3,failure,yes
52,management,single,secondary,56844,no,no,telephone,43,1,nonexistent,yes
36,services,divorced,primary,60904,yes,yes,cellular,15,4,nonexistent,no
37,blue-collar,single,primary,62705,no,yes,telephone,31,3,failure,no
74,self-employed,divorced,unknown,66245,yes,yes,telephone,45,2,failure,no
35,blue-collar,married,tertiary,25629,no,yes,telephone,19,0,success,yes
64,admin,married,tertiary,42186,no,no,cellular,44,2,nonexistent,no
58,unemployed,divorced,tertiary,87621,no,yes,cellular,31,0,failure,yes
66,blue-collar,divorced,tertiary,44537,yes,yes,cellular,47,3,failure,yes
31,retired,single,secondary,28832,no,no,telephone,12,4,success,yes
32,services,divorced,primary,21472,yes,no,telephone,23,2,failure,no
48,technician,married,tertiary,46850,no,yes,cellular,23,4,nonexistent,no
18,management,single,secondary,84298,yes,yes,cellular,36,3,failure,yes
70,admin,divorced,primary,7507,yes,yes,telephone,11,4,failure,no
71,management,divorced,primary,73114,no,no,cellular,22,4,success,yes
71,services,single,primary,53696,no,yes,cellular,47,2,nonexistent,no
20,entrepreneur,divorced,secondary,70247,no,yes,cellular,30,3,nonexistent,yes
33,admin,married,tertiary,54373,no,yes,telephone,5,4,nonexistent,no
40,student,single,primary,59264,yes,no,cellular,37,0,failure,no
74,admin,divorced,secondary,13979,yes,yes,cellular,20,1,failure,no
28,services,married,primary,13049,no,no,cellular,10,0,failure,no
29,technician,divorced,unknown,57081,yes,no,telephone,22,4,nonexistent,yes
27,admin,single,unknown,22997,no,no,telephone,42,3,nonexistent,no
49,services,divorced,secondary,54144,no,no,cellular,30,0,nonexistent,no
33,self-employed,divorced,tertiary,38830,no,no,cellular,30,3,nonexistent,no
25,unemployed,divorced,tertiary,79369,no,yes,cellular,22,0,failure,yes
55,blue-collar,married,primary,83721,no,yes,cellular,38,3,success,yes
29,self-employed,married,tertiary,19746,yes,no,cellular,38,4,nonexistent,no
41,services,divorced,tertiary,85393,no,no,telephone,38,2,success,yes
45,retired,divorced,unknown,7603,yes,yes,cellular,7,0,nonexistent,no
70,entrepreneur,single,secondary,74977,no,no,cellular,36,3,success,yes
25,blue-collar,divorced,unknown,2570,no,yes,telephone,14,0,success,yes
45,retired,single,secondary,30316,no,yes,telephone,11,3,success,no
53,technician,married,primary,49604,no,no,cellular,7,3,failure,no
43,management,divorced,unknown,16467,yes,yes,telephone,32,2,success,no
25,student,single,secondary,76381,yes,yes,telephone,18,3,failure,yes
67,blue-collar,married,tertiary,42638,no,yes,cellular,34,0,success,no
45,self-employed,single,secondary,24943,no,no,cellular,2,4,failure,no
45,entrepreneur,married,tertiary,68369,no,yes,telephone,7,1,nonexistent,yes
54,retired,divorced,primary,1340,no,yes,cellular,43,3,nonexistent,yes
58,services,single,tertiary,41532,yes,yes,cellular,31,1,success,yes
53,blue-collar,divorced,secondary,75848,yes,no,telephone,18,4,failure,no
44,management,single,unknown,64175,no,no,cellular,20,1,nonexistent,no
71,services,married,secondary,56918,yes,no,telephone,7,3,failure,yes
34,retired,single,unknown,42188,yes,no,telephone,22,0,failure,no
26,entrepreneur,single,secondary,13211,no,yes,telephone,37,2,nonexistent,yes
50,admin,divorced,secondary,11496,yes,yes,telephone,34,3,failure,no
70,management,divorced,primary,92381,no,yes,telephone,46,3,failure,no
37,services,divorced,tertiary,55248,yes,yes,cellular,39,2,failure,no
30,management,married,secondary,93625,yes,no,telephone,42,2,nonexistent,no
45,technician,divorced,unknown,39145,no,no,cellular,40,2,failure,no
65,services,single,tertiary,27672,yes,no,cellular,16,2,nonexistent,yes
46,blue-collar,married,primary,79481,yes,yes,telephone,14,2,failure,no
30,admin,divorced,tertiary,81238,yes,no,cellular,41,3,failure,no
63,admin,single,secondary,72255,yes,no,telephone,32,1,nonexistent,no
52,student,single,unknown,34027,yes,yes,telephone,38,0,nonexistent,no
23,management,married,unknown,34251,no,yes,cellular,39,3,failure,no
35,self-employed,single,tertiary,17403,no,yes,telephone,26,4,failure,no
68,admin,divorced,unknown,90345,yes,no,cellular,30,3,success,no
22,admin,single,secondary,23150,no,yes,cellular,41,3,failure,no
64,technician,divorced,unknown,73762,yes,no,cellular,39,1,nonexistent,no
42,unemployed,divorced,unknown,44940,yes,no,telephone,9,2,failure,no
19,technician,married,unknown,48476,no,yes,cellular,32,4,success,yes
27,technician,single,secondary,32202,yes,no,telephone,7,1,failure,yes
73,unemployed,married,primary,6729,no,no,cellular,12,0,success,no
47,management,married,unknown,21938,yes,yes,cellular,23,4,nonexistent,yes
67,services,married,primary,73302,yes,no,telephone,17,4,nonexistent,no
62,entrepreneur,divorced,tertiary,71920,no,no,cellular,21,1,failure,yes
22,self-employed,divorced,tertiary,23762,yes,no,cellular,12,4,success,no
72,admin,divorced,secondary,26724,no,yes,cellular,22,3,nonexistent,yes
73,student,divorced,secondary,88586,no,no,telephone,23,3,failure,yes
50,self-employed,single,secondary,18653,yes,yes,telephone,5,2,nonexistent,yes
71,services,single,secondary,11507,yes,yes,cellular,18,1,failure,no
18,unemployed,divorced,primary,70914,no,no,cellular,37,3,success,yes
35,self-employed,divorced,secondary,40773,yes,yes,telephone,37,4,failure,yes
49,admin,single,primary,33205,yes,no,telephone,7,4,nonexistent,no
64,self-employed,married,unknown,9571,no,yes,telephone,3,3,failure,yes
66,entrepreneur,married,unknown,35320,yes,yes,cellular,1,1,nonexistent,yes
28,unemployed,divorced,tertiary,46853,yes,no,cellular,6,1,success,no
38,self-employed,married,tertiary,28190,no,yes,telephone,7,0,nonexistent,no
43,admin,divorced,primary,87116,yes,no,telephone,27,1,nonexistent,no
42,admin,divorced,secondary,34522,yes,no,cellular,31,3,success,yes
39,self-employed,divorced,tertiary,69801,yes,no,cellular,8,0,success,yes
44,management,single,primary,42489,yes,no,telephone,14,4,failure,yes
66,student,married,tertiary,70277,yes,no,telephone,15,3,success,yes
30,retired,single,secondary,-163,yes,yes,cellular,7,2,nonexistent,yes
50,technician,married,primary,51763,no,no,telephone,7,2,failure,no
51,unemployed,single,tertiary,80945,yes,no,cellular,33,1,success,yes
58,retired,single,secondary,54964,yes,no,cellular,41,0,nonexistent,no
52,services,divorced,primary,54398,yes,no,cellular,7,0,success,yes
18,services,divorced,primary,80578,no,yes,telephone,20,4,nonexistent,no
38,admin,single,primary,80597,yes,yes,cellular,7,1,success,yes
65,services,married,unknown,92522,no,yes,telephone,14,0,failure,yes
72,management,married,primary,51198,no,yes,telephone,15,3,failure,yes
23,student,divorced,tertiary,83741,no,no,cellular,18,4,failure,no
45,services,divorced,primary,33143,no,no,telephone,10,0,nonexistent,no
34,entrepreneur,married,primary,47427,no,no,cellular,35,2,failure,no
22,student,married,primary,4859,yes,no,telephone,27,2,failure,no
48,management,married,primary,43507,yes,no,cellular,43,0,failure,no
22,retired,divorced,primary,32356,yes,no,cellular,1,2,nonexistent,yes
55,student,married,unknown,84501,yes,no,cellular,28,3,failure,no
20,student,divorced,secondary,60570,no,no,cellular,34,4,failure,yes
70,retired,single,unknown,10854,no,no,cellular,48,3,success,no
40,management,single,tertiary,31013,no,no,telephone,3,2,nonexistent,no
54,services,single,secondary,29654,no,yes,telephone,49,0,failure,no
70,admin,married,tertiary,21054,no,yes,cellular,3,0,failure,yes
54,unemployed,divorced,primary,71728,no,no,telephone,11,4,failure,no
27,retired,married,tertiary,58254,yes,no,telephone,4,2,success,yes
27,retired,divorced,unknown,65720,yes,yes,cellular,30,2,success,yes
36,retired,married,unknown,43206,yes,no,cellular,39,2,success,yes
34,retired,single,primary,34019,yes,no,cellular,32,1,failure,no
38,unemployed,divorced,primary,14281,no,no,cellular,16,0,nonexistent,no
31,unemployed,married,secondary,3863,no,no,cellular,17,2,nonexistent,no
26,services,divorced,unknown,50203,no,no,telephone,11,4,success,yes
63,self-employed,divorced,unknown,73238,yes,yes,telephone,36,1,failure,no
18,self-employed,married,secondary,34539,yes,no,telephone,32,2,nonexistent,no
68,blue-collar,married,unknown,77072,yes,yes,cellular,35,0,failure,no
62,retired,divorced,secondary,40088,yes,no,telephone,27,1,success,no
30,retired,divorced,unknown,60438,yes,no,cellular,48,3,success,no
21,student,single,tertiary,14077,yes,no,cellular,34,4,failure,no
18,self-employed,divorced,tertiary,23273,no,yes,cellular,5,0,nonexistent,yes
66,services,single,secondary,29052,yes,yes,cellular,25,3,nonexistent,no
57,admin,single,secondary,65955,yes,no,telephone,28,0,success,yes
49,blue-collar,single,primary,11518,yes,yes,cellular,18,4,failure,no
51,blue-collar,divorced,unknown,5396,no,yes,telephone,3,2,success,no
45,services,single,tertiary,82548,yes,yes,cellular,28,3,nonexistent,no
48,admin,divorced,primary,38077,yes,no,telephone,2,3,failure,yes
25,student,divorced,unknown,9981,no,yes,telephone,34,1,failure,yes
56,unemployed,married,tertiary,96989,yes,yes,cellular,22,2,success,no
43,technician,divorced,unknown,66292,yes,yes,telephone,22,4,failure,yes
51,self-employed,divorced,secondary,62842,no,no,telephone,30,1,failure,no
71,retired,single,tertiary,3023,no,yes,cellular,34,3,failure,no
71,services,divorced,tertiary,89954,yes,yes,telephone,48,0,failure,no
20,self-employed,divorced,primary,19219,no,no,telephone,1,4,success,yes
67,retired,married,unknown,81892,no,no,telephone,29,1,failure,yes
29,technician,married,secondary,15094,yes,no,cellular,19,2,nonexistent,yes
18,technician,single,secondary,35853,no,yes,cellular,19,0,success,yes
71,unemployed,single,unknown,3646,no,no,telephone,41,1,failure,yes
61,management,married,unknown,52045,yes,no,telephone,41,4,success,no
22,technician,married,secondary,44925,no,yes,telephone,29,0,nonexistent,yes
47,self-employed,divorced,unknown,41927,yes,no,telephone,43,1,failure,no
47,entrepreneur,single,primary,9991,no,yes,cellular,33,1,failure,yes
74,entrepreneur,single,unknown,16978,no,no,telephone,17,4,success,yes
34,retired,divorced,primary,81012,yes,no,telephone,38,2,success,yes
65,retired,divorced,primary,33723,no,yes,telephone,1,0,success,no
64,management,single,unknown,22787,no,yes,cellular,41,1,success,no
40,entrepreneur,married,tertiary,89693,no,yes,telephone,33,4,success,no
32,retired,married,tertiary,47092,no,yes,telephone,36,1,failure,yes
54,technician,divorced,primary,42791,no,no,cellular,22,4,success,yes
38,retired,single,unknown,73171,yes,no,telephone,18,4,success,yes
31,blue-collar,divorced,primary,12932,no,yes,telephone,17,1,success,no
19,management,married,unknown,34911,yes,no,telephone,32,4,nonexistent,no
28,services,married,unknown,99301,no,yes,cellular,20,0,failure,no
68,admin,divorced,secondary,7946,no,no,cellular,23,4,success,yes
56,student,married,tertiary,82899,yes,yes,telephone,28,2,failure,yes
55,admin,single,tertiary,12387,no,yes,telephone,46,2,failure,yes
51,admin,divorced,secondary,67141,no,yes,cellular,26,4,success,yes
55,unemployed,divorced,secondary,47573,no,yes,cellular,7,0,nonexistent,yes
67,services,divorced,secondary,39405,no,no,telephone,41,3,nonexistent,no
51,retired,married,primary,7152,yes,yes,telephone,20,3,failure,yes
35,unemployed,single,primary,96434,yes,yes,telephone,41,0,success,no
47,admin,divorced,primary,33415,no,no,cellular,47,2,failure,no
32,blue-collar,divorced,primary,93879,yes,no,cellular,11,4,failure,no
44,student,married,primary,29848,yes,yes,cellular,7,1,success,no
68,admin,single,tertiary,41394,no,no,cellular,38,4,nonexistent,yes
51,entrepreneur,divorced,tertiary,67265,no,no,cellular,27,4,failure,yes
69,services,married,unknown,29455,yes,yes,telephone,9,3,failure,no
74,services,divorced,tertiary,93348,yes,yes,telephone,4,4,failure,no
55,services,married,secondary,64560,yes,yes,telephone,49,3,failure,no
50,management,single,tertiary,89764,yes,no,cellular,38,1,failure,no
41,management,married,secondary,14921,yes,no,telephone,29,4,success,yes
32,technician,divorced,tertiary,30179,yes,no,cellular,49,0,nonexistent,yes
47,self-employed,divorced,primary,50235,no,yes,cellular,26,4,success,yes
72,student,married,tertiary,30037,no,yes,telephone,25,0,success,yes
59,unemployed,single,unknown,31275,yes,no,telephone,14,3,success,no
68,retired,single,primary,34692,no,yes,telephone,37,4,nonexistent,yes
34,admin,divorced,primary,6872,no,no,telephone,28,3,success,no
22,self-employed,divorced,unknown,49764,yes,no,telephone,8,0,nonexistent,no
46,retired,married,tertiary,88871,yes,yes,cellular,42,3,failure,yes
21,unemployed,married,tertiary,84143,yes,yes,cellular,11,2,failure,yes
27,self-employed,married,unknown,50299,no,no,cellular,35,0,success,no
73,retired,single,primary,32961,yes,yes,telephone,31,3,failure,yes
34,blue-collar,single,unknown,22466,no,yes,telephone,34,4,failure,no
27,management,divorced,secondary,13762,no,yes,telephone,46,3,failure,yes
34,unemployed,divorced,secondary,16930,yes,yes,telephone,36,1,success,no
37,student,divorced,tertiary,52213,no,yes,cellular,17,0,success,yes
41,entrepreneur,married,primary,68191,yes,yes,telephone,49,3,nonexistent,yes
22,blue-collar,single,secondary,48374,yes,no,telephone,21,2,failure,no
51,management,divorced,unknown,54902,no,yes,telephone,26,1,success,yes
23,services,divorced,tertiary,68555,yes,no,telephone,41,0,failure,no
70,management,divorced,tertiary,99878,yes,no,telephone,28,1,success,no
19,self-employed,divorced,primary,52875,yes,no,cellular,22,4,nonexistent,yes
30,technician,divorced,secondary,37314,yes,yes,telephone,41,2,nonexistent,yes
60,blue-collar,divorced,tertiary,50175,yes,no,telephone,3,4,success,no
60,services,single,unknown,83200,yes,yes,telephone,28,3,failure,yes
65,self-employed,divorced,secondary,46978,no,no,cellular,36,1,nonexistent,no
28,unemployed,single,tertiary,56415,yes,no,telephone,2,4,success,no
68,student,married,tertiary,80460,no,no,cellular,46,3,nonexistent,yes
64,management,single,secondary,44255,yes,yes,cellular,20,2,success,no
74,unemployed,married,secondary,47662,yes,no,telephone,40,4,nonexistent,yes
40,services,single,primary,86082,no,no,telephone,36,1,success,no
72,self-employed,single,unknown,78366,no,yes,telephone,8,4,nonexistent,yes
33,technician,divorced,primary,76178,yes,no,telephone,39,2,nonexistent,yes
48,management,single,primary,86622,yes,no,cellular,25,3,success,yes
28,student,single,unknown,47496,no,no,cellular,15,4,nonexistent,yes
71,technician,divorced,unknown,45791,no,no,cellular,30,4,success,yes
33,retired,married,primary,93998,no,no,cellular,47,0,nonexistent,yes
25,self-employed,divorced,secondary,55235,no,no,telephone,34,3,nonexistent,no
21,unemployed,divorced,unknown,37140,yes,yes,telephone,4,0,success,yes
57,management,divorced,primary,30076,no,no,cellular,22,0,nonexistent,yes
21,management,married,secondary,42782,yes,yes,cellular,25,2,nonexistent,yes
73,services,single,tertiary,49632,no,yes,cellular,9,2,success,no
42,student,single,secondary,20203,yes,yes,cellular,23,1,failure,no
20,entrepreneur,divorced,primary,91392,no,yes,telephone,39,3,success,yes
49,retired,divorced,unknown,43642,yes,no,cellular,12,3,failure,no
20,technician,single,secondary,7486,no,no,cellular,14,2,nonexistent,no
44,blue-collar,single,secondary,58595,no,yes,cellular,7,2,failure,yes
46,blue-collar,single,secondary,30158,no,yes,cellular,31,0,failure,yes
49,management,married,unknown,12681,no,no,telephone,6,2,success,no
67,services,married,unknown,52790,yes,no,cellular,23,4,failure,yes
68,admin,divorced,secondary,53052,no,no,cellular,19,3,failure,yes
36,management,married,secondary,75237,no,yes,cellular,21,1,nonexistent,yes
38,blue-collar,divorced,primary,13372,no,yes,cellular,19,0,success,yes
22,blue-collar,single,unknown,24611,yes,yes,cellular,47,4,success,yes
35,retired,single,secondary,3523,yes,no,telephone,19,2,failure,no
45,unemployed,divorced,unknown,43793,no,yes,cellular,44,1,nonexistent,yes
59,admin,single,unknown,18233,yes,yes,cellular,34,2,success,no
39,management,divorced,unknown,22955,yes,no,cellular,43,4,nonexistent,no
38,retired,divorced,primary,67299,yes,no,cellular,13,1,failure,yes
23,services,divorced,tertiary,45524,no,no,telephone,36,2,failure,no
18,retired,married,unknown,40621,yes,no,telephone,25,4,success,no
22,management,divorced,unknown,82978,yes,no,telephone,33,4,failure,yes
58,self-employed,divorced,secondary,89418,no,yes,cellular,21,1,nonexistent,yes
29,entrepreneur,divorced,unknown,66001,no,yes,telephone,34,4,nonexistent,yes
43,management,married,tertiary,67987,no,no,cellular,46,2,failure,no
63,student,single,unknown,79597,yes,yes,telephone,25,1,failure,yes
51,blue-collar,married,primary,-1985,no,no,telephone,18,0,nonexistent,no
66,admin,divorced,secondary,2410,yes,yes,telephone,43,4,failure,no
31,admin,married,tertiary,16964,yes,no,telephone,11,2,failure,no
43,unemployed,single,primary,68671,no,no,cellular,19,1,failure,no
62,entrepreneur,single,tertiary,71484,no,yes,telephone,49,0,nonexistent,yes
44,student,divorced,secondary,68325,no,no,telephone,49,0,failure,yes
26,blue-collar,single,unknown,6602,no,no,cellular,34,3,nonexistent,yes
43,admin,married,secondary,5232,no,no,telephone,2,3,success,yes
74,student,married,secondary,55245,no,yes,telephone,30,1,failure,yes
64,retired,single,unknown,45950,yes,yes,telephone,45,4,failure,yes
74,unemployed,divorced,primary,68371,no,no,cellular,38,2,failure,no
39,management,divorced,tertiary,89602,yes,yes,cellular,15,4,success,no
64,management,married,primary,26381,yes,yes,telephone,11,2,failure,yes
73,self-employed,single,unknown,99647,yes,no,telephone,24,2,nonexistent,yes
47,blue-collar,married,tertiary,74305,yes,yes,cellular,4,3,failure,yes
60,student,married,unknown,54025,yes,no,cellular,19,3,nonexistent,no
65,technician,married,primary,80192,yes,no,telephone,29,4,nonexistent,no
34,admin,divorced,secondary,51706,no,no,cellular,14,1,nonexistent,no
43,services,single,tertiary,-1181,yes,no,telephone,17,2,nonexistent,yes
53,services,single,unknown,33383,yes,yes,cellular,8,3,nonexistent,yes
18,management,divorced,tertiary,76684,yes,no,cellular,13,1,failure,no
25,technician,married,tertiary,69605,no,yes,telephone,23,3,failure,yes
66,services,married,primary,3640,yes,yes,telephone,29,2,failure,yes
52,entrepreneur,divorced,secondary,57888,yes,yes,telephone,47,0,nonexistent,no
69,entrepreneur,single,tertiary,84810,no,no,cellular,11,3,success,yes
32,blue-collar,divorced,primary,60244,no,no,telephone,16,1,failure,no
64,technician,single,tertiary,71237,no,no,telephone,44,4,failure,no
73,entrepreneur,single,secondary,82901,yes,no,cellular,23,4,failure,no
39,entrepreneur,single,tertiary,66575,no,no,cellular,12,2,nonexistent,yes
31,management,married,secondary,52087,no,no,telephone,38,0,failure,no
43,services,married,primary,29915,no,no,cellular,24,3,nonexistent,yes
45,blue-collar,divorced,primary,41642,yes,yes,telephone,31,3,failure,yes
40,student,divorced,secondary,54611,no,yes,cellular,38,0,failure,yes
